goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │ linear.txt  │
                                 │   sec/op    │
Get/Btree/Descending/Order-124-8   84.89n ± 1%
Get/Btree/Descending/Order-126-8   85.28n ± 1%
Get/Btree/Descending/Order-128-8   85.32n ± 1%
Get/Btree/Descending/Order-130-8   85.88n ± 1%
Get/Btree/Descending/Order-132-8   85.72n ± 0%
Get/Btree/Descending/Order-134-8   86.01n ± 0%
Get/Btree/Descending/Order-136-8   86.24n ± 0%
Get/Btree/Descending/Order-138-8   86.64n ± 0%
Get/Btree/Descending/Order-140-8   87.06n ± 1%
Get/Btree/Descending/Order-142-8   87.56n ± 0%
Get/Btree/Descending/Order-144-8   87.51n ± 1%
Get/Btree/Descending/Order-146-8   87.31n ± 0%
Get/Btree/Descending/Order-148-8   87.99n ± 1%
Get/Btree/Descending/Order-150-8   88.67n ± 1%
Get/Btree/Descending/Order-152-8   88.79n ± 1%
Get/Btree/Descending/Order-154-8   89.05n ± 1%
Get/Btree/Descending/Order-156-8   89.37n ± 1%
Get/Btree/Descending/Order-158-8   89.72n ± 0%
Get/Btree/Descending/Order-160-8   89.92n ± 0%
Get/Btree/Descending/Order-162-8   90.22n ± 0%
Get/Btree/Descending/Order-164-8   90.93n ± 1%
Get/Btree/Descending/Order-166-8   91.19n ± 1%
Get/Btree/Descending/Order-168-8   90.99n ± 1%
Get/Btree/Descending/Order-170-8   91.28n ± 0%
Get/Btree/Descending/Order-172-8   92.52n ± 1%
Get/Btree/Descending/Order-174-8   92.75n ± 0%
Get/Btree/Descending/Order-176-8   93.78n ± 1%
Get/Btree/Descending/Order-178-8   93.00n ± 1%
Get/Btree/Descending/Order-180-8   94.72n ± 1%
Get/Btree/Descending/Order-182-8   94.87n ± 1%
Get/Btree/Descending/Order-184-8   94.83n ± 1%
Get/Btree/Descending/Order-186-8   95.15n ± 1%
Get/Btree/Descending/Order-188-8   96.43n ± 0%
Get/Btree/Descending/Order-190-8   95.64n ± 0%
Get/Btree/Descending/Order-192-8   96.90n ± 0%
Get/Btree/Descending/Order-194-8   96.37n ± 0%
Get/Btree/Descending/Order-196-8   97.62n ± 0%
Get/Btree/Descending/Order-198-8   97.11n ± 0%
Get/Btree/Descending/Order-200-8   99.08n ± 1%
Get/Btree/Descending/Order-202-8   98.18n ± 0%
Get/Btree/Descending/Order-204-8   100.4n ± 0%
Get/Btree/Descending/Order-206-8   99.84n ± 0%
Get/Btree/Descending/Order-208-8   102.2n ± 0%
Get/Btree/Descending/Order-210-8   101.4n ± 0%
Get/Btree/Descending/Order-212-8   101.0n ± 0%
Get/Btree/Descending/Order-214-8   103.4n ± 1%
Get/Btree/Descending/Order-216-8   102.9n ± 1%
Get/Btree/Descending/Order-218-8   105.8n ± 0%
Get/Btree/Descending/Order-220-8   105.2n ± 1%
Get/Btree/Descending/Order-222-8   104.6n ± 0%
Get/Btree/Descending/Order-224-8   107.4n ± 1%
Get/Btree/Descending/Order-226-8   106.9n ± 0%
Get/Btree/Descending/Order-228-8   106.9n ± 1%
Get/Btree/Descending/Order-230-8   110.1n ± 1%
Get/Btree/Descending/Order-232-8   109.5n ± 1%
Get/Btree/Descending/Order-234-8   108.8n ± 0%
