Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Forward/Order-35-8        	33758198	        41.60 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-36-8        	33920798	        40.91 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-37-8        	34401348	        40.95 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-38-8        	30669824	        41.56 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-39-8        	32578796	        42.74 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-40-8        	32866533	        40.49 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-41-8        	32691462	        39.75 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-42-8        	32734650	        39.79 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-43-8        	34473721	        40.58 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-44-8        	34292694	        40.93 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-45-8        	35120196	        40.23 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-46-8        	35201548	        40.88 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-47-8        	34810425	        40.17 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-48-8        	31803162	        43.03 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-49-8        	33767359	        41.93 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-50-8        	34337682	        41.62 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-51-8        	33915972	        41.37 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-52-8        	33615195	        38.89 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-53-8        	34675620	        40.66 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-54-8        	34556349	        36.93 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-55-8        	30111966	        37.45 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-56-8        	35397862	        38.21 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-57-8        	33974674	        37.40 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-58-8        	36751890	        37.39 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-59-8        	36729801	        36.59 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-60-8        	37736845	        36.50 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-61-8        	38013723	        36.04 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-62-8        	37560538	        33.26 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-63-8        	37554148	        34.59 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-64-8        	37055506	        35.46 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-65-8        	37782421	        34.93 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-66-8        	37798404	        34.89 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-67-8        	38258154	        34.69 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-68-8        	38158515	        34.61 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-69-8        	37713771	        36.01 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-70-8        	39330541	        34.01 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-71-8        	39923126	        34.12 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-72-8        	36767253	        38.21 ns/op	      57 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-73-8        	37889366	        37.04 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-74-8        	37326642	        39.36 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-75-8        	37823859	        38.97 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-76-8        	38605003	        37.30 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-77-8        	38402582	        37.35 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-78-8        	37967679	        37.12 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-79-8        	39679275	        37.46 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-80-8        	38797959	        36.95 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-81-8        	38801786	        34.46 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-82-8        	39286208	        36.62 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-83-8        	38844955	        36.41 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-84-8        	38592174	        33.57 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-85-8        	39605401	        33.34 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-86-8        	40978228	        35.42 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-87-8        	40645245	        33.79 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-88-8        	41081140	        34.32 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-89-8        	41001224	        34.03 ns/op	      55 B/op	       0 allocs/op
