goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Forward/Order-11-4        	12541448	        87.20 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-11-4        	11846265	        87.01 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-11-4        	12290710	        90.54 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-11-4        	13479890	        94.38 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-11-4        	13810494	        88.29 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-11-4        	13428069	        89.42 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-11-4        	14078086	        89.05 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-11-4        	11374543	        90.95 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-12-4        	12657223	        85.88 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-12-4        	12119074	        83.85 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-12-4        	14305681	        84.34 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-12-4        	13007930	        86.37 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-12-4        	14094524	        88.10 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-12-4        	14199471	        89.39 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-12-4        	12314302	        84.27 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-12-4        	12598312	        86.80 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-13-4        	14541411	        85.45 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-13-4        	12701131	        81.22 ns/op	      51 B/op	       0 allocs/op
