goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │  binary.txt  │
                                 │    sec/op    │
Get/Btree/Descending/Order-126-8   60.41n ±  0%
Get/Btree/Descending/Order-128-8   60.52n ±  0%
Get/Btree/Descending/Order-130-8   60.75n ±  0%
Get/Btree/Descending/Order-132-8   60.40n ±  0%
Get/Btree/Descending/Order-134-8   60.38n ±  0%
Get/Btree/Descending/Order-136-8   60.23n ±  1%
Get/Btree/Descending/Order-138-8   60.15n ±  0%
Get/Btree/Descending/Order-140-8   60.19n ±  0%
Get/Btree/Descending/Order-142-8   59.83n ±  0%
Get/Btree/Descending/Order-144-8   59.52n ±  0%
Get/Btree/Descending/Order-146-8   59.54n ±  0%
Get/Btree/Descending/Order-148-8   59.59n ±  0%
Get/Btree/Descending/Order-150-8   59.32n ±  0%
Get/Btree/Descending/Order-152-8   59.23n ±  0%
Get/Btree/Descending/Order-154-8   59.23n ±  0%
Get/Btree/Descending/Order-156-8   59.18n ±  0%
Get/Btree/Descending/Order-158-8   59.28n ±  1%
Get/Btree/Descending/Order-160-8   59.29n ±  0%
Get/Btree/Descending/Order-162-8   59.40n ±  0%
Get/Btree/Descending/Order-164-8   59.36n ±  1%
Get/Btree/Descending/Order-166-8   59.49n ±  0%
Get/Btree/Descending/Order-168-8   59.71n ±  0%
Get/Btree/Descending/Order-170-8   59.42n ±  1%
Get/Btree/Descending/Order-172-8   59.80n ±  0%
Get/Btree/Descending/Order-174-8   60.04n ±  1%
Get/Btree/Descending/Order-176-8   59.79n ±  0%
Get/Btree/Descending/Order-178-8   60.00n ±  0%
Get/Btree/Descending/Order-180-8   60.36n ±  1%
Get/Btree/Descending/Order-182-8   60.03n ±  0%
Get/Btree/Descending/Order-184-8   60.33n ±  0%
Get/Btree/Descending/Order-186-8   60.26n ±  0%
Get/Btree/Descending/Order-188-8   60.26n ±  0%
Get/Btree/Descending/Order-190-8   60.27n ±  0%
Get/Btree/Descending/Order-192-8   60.42n ±  0%
Get/Btree/Descending/Order-194-8   60.82n ±  0%
Get/Btree/Descending/Order-196-8   60.62n ±  0%
Get/Btree/Descending/Order-198-8   61.10n ±  1%
Get/Btree/Descending/Order-200-8   61.38n ±  1%
Get/Btree/Descending/Order-202-8   62.02n ±  3%
Get/Btree/Descending/Order-204-8   61.62n ±  3%
